,diarynum,entry_year,entry_id,0,1,2
4346,509.0,1968.0,193563,-0.26497275,0.12834145,0.014377562
4347,509.0,1968.0,193563,-0.18598975,0.1096313,-0.016885335
4348,509.0,1968.0,193563,-0.20310685,0.087106906,-0.01915228
4349,509.0,1968.0,193573,-0.35988262,0.24274865,-0.125516
4350,509.0,1968.0,193580,-0.20772564,0.09671794,0.03847997
4351,509.0,1968.0,193590,-0.16702375,0.1041862,0.06833623
4352,509.0,1968.0,193590,-0.2624722,0.16091488,-0.023021227
4353,509.0,1968.0,193592,-0.39372742,0.3523762,-0.20714821
4354,509.0,1968.0,193599,-0.2039539,0.18377616,-0.036396213
4355,509.0,1968.0,193619,-0.21771762,0.14249799,-0.03432103
4356,509.0,1968.0,193619,-0.34253898,0.14158401,-0.083558924
4357,509.0,1969.0,193622,-0.52356464,0.38588303,-0.3332649
4358,509.0,1969.0,193622,-0.29306307,0.097155154,-0.1509426
4359,509.0,1969.0,193622,-0.20540622,0.09337139,0.0031339196
4360,509.0,1969.0,193623,-0.17297694,0.11482049,0.015941028
4361,509.0,1969.0,193623,-0.17135084,0.13071658,-0.0048566074
4362,509.0,1969.0,193628,-0.21556301,0.12096571,-0.0013599833
4363,509.0,1969.0,193628,-0.18639259,0.10834081,-0.056534134
4364,509.0,1969.0,193628,-0.29898125,0.22931197,-0.05757979
4365,509.0,1969.0,193628,-0.22136879,0.08950028,0.008522869
4366,509.0,1969.0,193628,-0.20453927,0.12507942,-0.020382635
4367,509.0,1969.0,193628,-0.11013015,0.10511103,-0.0016811994
4368,509.0,1969.0,193630,-0.19748527,0.12032759,-0.02701924
4369,509.0,1969.0,193632,-0.42972222,0.14930597,0.15901244
4370,509.0,1969.0,193632,-0.20697486,0.108881086,0.018788762
4371,509.0,1969.0,193632,-0.1477695,0.118847616,0.01868641
4372,509.0,1969.0,193632,-0.15051907,0.08771877,-0.0033445603
4373,509.0,1969.0,193635,-0.20083132,0.12414616,-0.012084335
4374,509.0,1969.0,193635,-0.110896535,0.095618196,-0.022164796
4375,509.0,1969.0,193635,-0.21994482,0.13021915,-0.04004628
4376,509.0,1969.0,193637,-0.20959221,0.12611514,0.013956157
4377,509.0,1969.0,193637,-0.3626657,0.26789933,-0.13216579
4378,509.0,1969.0,193642,-0.22256114,0.1059022,0.023855029
4379,509.0,1969.0,193642,-0.26465565,0.11045243,-0.027324723
4380,509.0,1969.0,193642,-0.2502503,0.14083034,-0.049838383
4381,509.0,1969.0,193643,-0.5756305,0.5391401,-0.49574894
4382,509.0,1969.0,193643,-0.16892552,0.12333978,-0.052104447
4383,509.0,1969.0,193643,-0.22338498,0.1425849,-0.011583346
4384,509.0,1969.0,193644,-0.30027938,0.23229596,-0.16794792
4385,509.0,1969.0,193644,-0.21686134,0.12294737,-0.0042807492
4386,509.0,1969.0,193644,-0.343077,0.28202993,-0.0875725
4387,509.0,1969.0,193644,-0.19593512,0.11766684,0.022868868
4388,509.0,1969.0,193644,-0.2118288,0.13933197,-0.06875309
4389,509.0,1969.0,193644,-0.19695683,0.11602564,0.013070219
4390,509.0,1969.0,193644,-0.23798203,0.13157098,-0.026424684
4391,509.0,1969.0,193644,-0.19246618,0.11413389,-0.007246426
4392,509.0,1969.0,193650,-0.21319109,0.15437402,0.024187338
4393,509.0,1969.0,193650,-0.6539958,0.5050374,-0.59938586
4394,509.0,1969.0,193650,-0.1856778,0.17026195,0.051749125
4395,509.0,1969.0,193650,-0.20100251,0.09799734,0.037877552
4396,509.0,1969.0,193650,-0.19715774,0.13656692,0.0186989
4397,509.0,1969.0,193650,-0.43779862,0.3924466,-0.18076704
4398,509.0,1969.0,193650,-0.20500186,0.13257079,-0.0075295256
4399,509.0,1969.0,193650,-0.23920473,0.12465988,-0.04793594
4400,509.0,1969.0,193650,-0.20648584,0.11056974,0.0077320286
4401,509.0,1969.0,193650,-0.6774141,0.1355284,0.46545017
4402,509.0,1969.0,193652,-0.17309855,0.18510658,-0.16892385
4403,509.0,1969.0,193652,-0.19157603,0.15343688,-0.014257737
4404,509.0,1969.0,193652,-0.19150949,0.11039337,-0.03807211
4405,509.0,1969.0,193652,-0.20484476,0.09410356,0.03108125
4406,509.0,1969.0,193654,-0.2556193,0.123962454,-0.04857967
4407,509.0,1969.0,193654,-0.24047394,0.11148083,-0.011621852
4408,509.0,1969.0,193654,-0.21374385,0.12874603,-0.03787194
4409,509.0,1969.0,193655,-0.96206355,0.7821802,-0.45688927
4410,509.0,1969.0,193655,-0.14215447,0.10342364,0.019314151
4411,509.0,1969.0,193655,-0.21117291,0.16875932,0.026656402
4412,509.0,1969.0,193657,-0.968144,0.9104427,-0.6305198
4413,509.0,1969.0,193657,-0.48667872,0.45447445,-0.22594333
4414,509.0,1969.0,193657,-0.18502966,0.10401057,0.03546294
4415,509.0,1969.0,193663,-0.22337532,0.12616046,-0.019101067
4416,509.0,1969.0,193676,-0.18421392,0.10111659,-0.014635566
4417,509.0,1969.0,193698,-0.20711535,0.098133706,0.014661635
4418,509.0,1969.0,193703,-0.92290044,0.7639807,-0.47058514
4419,509.0,1969.0,193703,-0.20280382,0.12022598,-0.035377577
4420,509.0,1969.0,193704,-0.18358383,0.16583548,-0.06864446
4421,509.0,1969.0,193704,-0.20381041,0.11579323,0.0004635527
4422,509.0,1969.0,193709,-0.18846792,0.16820344,-0.066676736
4423,509.0,1969.0,193712,-0.4228885,0.19454326,-0.11092253
4424,509.0,1969.0,193714,-0.5325515,0.506982,-0.32994646
4425,509.0,1969.0,193716,-0.20726962,0.12859546,-0.020412564
4426,509.0,1969.0,193721,-0.46910706,0.35995167,-0.3298858
4427,509.0,1969.0,193721,-0.19752306,0.12974207,0.0067438195
4428,509.0,1969.0,193724,-0.20148559,0.13166106,-0.014769939
4429,509.0,1969.0,193724,-0.6938286,0.63850355,-0.3620434
4430,509.0,1969.0,193724,-0.19159806,0.12573469,0.012402748
4431,509.0,1969.0,193724,-0.19459252,0.14037822,0.041502967
4432,509.0,1969.0,193724,-0.20825653,0.115015395,-0.014031195
4433,509.0,1969.0,193724,-0.17649844,0.13680498,0.0039147455
4434,509.0,1969.0,193724,-0.21271206,0.1350791,-0.012387259
4435,509.0,1969.0,193724,-0.2841242,0.10721404,-0.050111122
4436,509.0,1969.0,193724,-0.21181504,0.1359987,-0.00052942324
4437,509.0,1969.0,193735,-0.2058231,0.121681966,0.003445559
4438,509.0,1969.0,193735,-0.34593537,0.10646001,-0.039930657
4439,509.0,1969.0,193735,-0.19970828,0.11022887,-0.017223993
4440,509.0,1969.0,193735,-0.21469039,0.12237233,-0.045176376
4441,509.0,1969.0,193735,-0.20801972,0.16377851,-0.040393103
4442,509.0,1969.0,193735,-0.20874205,0.15526561,-0.019913305
4443,509.0,1969.0,193735,-0.920788,0.1333816,0.30245125
4444,509.0,1969.0,193735,-0.18658394,0.10902366,0.002063696
4445,509.0,1969.0,193735,-0.19454011,0.124856055,0.0147517705
4446,509.0,1969.0,193739,-0.7754032,0.27854082,-0.5079646
